paper_id,author_id,affiliation
1458235,81100472184,"Microsoft, London, United Kingdom"
1458235,81100072366,"University of London, London, United Kingdom"
502635,81100438621,"Illinois Institute of Technology, Chicago, IL"
502635,81100268938,"Illinois Institute of Technology, Chicago, IL"
584848,81100438621,"Riyadh College of Technology, Riyadh, Saudi Arabia"
584848,81100268938,"Illinois Institute of Technology, Chicago, IL"
2662032,86159166057,"The Pennsylvania State University, University Park, PA, USA"
2662032,81350569870,"The Pennsylvania State University, University Park, PA, USA"
956914,81342487699,"University of Massachusetts, MA"
956914,81100140749,"University of Massachusetts, MA"
956914,81100124635,"University of Massachusetts, MA"
354843,81342487699,"Center for Intelligent Information Retrieval, Department of Computer Science, University of Massachusetts, Amherst, Massachusetts"
354843,81100151204,"Center for Intelligent Information Retrieval, Department of Computer Science, University of Massachusetts, Amherst, Massachusetts"
354843,81375602759,"MapQuest.Com, Inc., Mountvile, Pennsylvania"
319971,81100652766,"College of Library and Information Services, University of Maryland, College Park, MD"
319971,81100439658,"University Library, University of Maryland, College Park, MD"
2513209,84459556457,"LIG laboratory, MRIM group, Grenoble, France"
2513209,81100609693,"LIG laboratory, MRIM group, Grenoble, France"
2513209,81340488349,"LIG laboratory, MRIM group, Grenoble, France"
1871622,81385591769,"University of Campinas, Campinas, Brazil"
1871622,81309505666,"University of Campinas, Campinas, Brazil"
1871622,81100070247,"University of Campinas, Campinas, Brazil"
2063794,81100182645,"Universidad de Almeria, Almeria, Spain"
2063794,81339528446,"Universidad Politecnica de Valencia, Valencia, Spain"
2063794,81388601749,"Universidad Politecnica de Valencia, Valencia, Spain"
956896,81100146563,"Sarnoff Corporation, Princeton, NJ"
956896,81100272839,"Sarnoff Corporation, Princeton, NJ"
956896,81314483511,"Sarnoff Corporation, Princeton, NJ"
1645968,81100146530,"University of California, Davis, Davis, CA, USA"
1645968,81100616634,"University of Heidelberg, Heidelberg, Germany"
1645968,81100336335,"Yahoo! Research, Barcelona, Spain"
2064053,81100146530,"Microsoft, Palo Alto, USA"
2064053,81100034443,"University of Amsterdam, Amsterdam, Netherlands"
2064053,81100013423,"SICS, Stockholm, Sweden"
2663539,81100146530,"Microsoft, Mountain View, CA, USA"
2663539,81100034443,"University of Amsterdam, Amsterdam, Netherlands"
2663539,81502696743,"KTH & & Gavagai, Stockholm, Sweden"
2513210,81100146530,"Microsoft, Mountain View, CA, USA"
2513210,81100561740,"Microsoft, Mountain View, CA, USA"
2513210,84459283757,"Microsoft, Mountain View, CA, USA"
2513210,81100634857,"Microsoft, Moutain View, CA, USA"
1099621,81100146563,"Sarnoff Corporation, Princeton, NJ"
1099621,81314483511,"Sarnoff Corporation, Princeton, NJ"
1458228,81384621670,"Universtiy of Cincinnati, Cincinnati, OH, USA"
1458228,81100498916,"Universtiy of Cincinnati, Cincinnati, OH, USA"
1458330,81384621670,"Universtiy of Cincinnati, Cincinnati, OH, USA"
1458330,81100498916,"Universtiy of Cincinnati, Cincinnati, OH, USA"
2398560,81100461898,"L3S Research Center, Hannover, Germany"
2398560,81100367648,"Yahoo! Research, Barcelona, Spain"
